universe,symbol,name,market,source,as_of
NASDAQ100,ORLY,O'Reilly Automotive,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ODFL,Old Dominion Freight Line,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,PCAR,Paccar,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,PLTR,Palantir Technologies,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,PANW,Palo Alto Networks,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,PAYX,Paychex,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,PYPL,PayPal,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,PDD,PDD Holdings,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,PEP,PepsiCo,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,QCOM,Qualcomm,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,REGN,Regeneron Pharmaceuticals,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ROP,Roper Technologies,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ROST,Ross Stores,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,SNDK,Sandisk,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,STX,Seagate Technology,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,SHOP,Shopify,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,SBUX,Starbucks,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,SNPS,Synopsys,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,TMUS,T-Mobile US,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,TTWO,Take-Two Interactive,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,TSLA,"Tesla, Inc.",NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
