universe,symbol,name,market,source,as_of
KOSPI200,175330.KS,JB금융지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,082740.KS,한화엔진,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,023530.KS,롯데쇼핑,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,088350.KS,한화생명,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,450080.KS,에코프로머티,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,051900.KS,LG생활건강,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,111770.KS,영원무역,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,251270.KS,넷마블,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,011170.KS,롯데케미칼,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,011780.KS,금호석유화학,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005850.KS,에스엘,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,302440.KS,SK바이오사이언스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,035250.KS,강원랜드,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,036460.KS,한국가스공사,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,014680.KS,한솔케미칼,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,097950.KS,CJ제일제당,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,017800.KS,현대엘리베이터,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,001450.KS,현대해상,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,009420.KS,한올바이오파마,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,069960.KS,현대백화점,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,139130.KS,iM금융지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,383220.KS,F&F,KOSPI,Naver Finance KPI200,2026-06-04
