universe,symbol,name,market,source,as_of
KOSDAQ150,183300.KQ,KoMiCo,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,101360.KQ,Eco Dream,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,161580.KQ,Philoptics,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,003380.KQ,Harim Holdings,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,272290.KQ,INNOX Materials,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,263750.KQ,PearlAbyss,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,171090.KQ,SUNIC SYSTEM,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,253450.KQ,Studio Dragon,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,281740.KQ,Lake Materials,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,166090.KQ,Hana Materials,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,042000.KQ,Cafe24,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,253590.KQ,Neosem,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,226950.KQ,OliX Pharmaceuticals,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,108490.KQ,ROBOTIS,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,247540.KQ,EcoPro BM,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,251970.KQ,Pumtech Korea,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,278280.KQ,Chunbo,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,290650.KQ,L&C Bio,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,298380.KQ,ABL Bio,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,319660.KQ,PSK,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
